номер,обоснование,наименование,ед_изм,кол_на_ед,коэф1,всего_коэф,база_ед,индекс,тек_ед,коэф2,всего_руб,row_index,раздел,вид_работ,тип_работы,категория
,Прил.13.2 п.17,"Нанесении лакокрасочных материалов ручным способом ОЗП=1,1; ТЗ=1,1",,,,,,,,,,74,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,окраска за 2 раза,окраска за 2 раза ПЗ=2 (ОЗП=2; ЭМ=2 к расх.; ЗПМ=2; МАТ=2 к расх.; ТЗ=2; ТЗМ=2),,,,,,,,,,75,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.1701018,,,,,62.92,76,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,1-100-35,"Средний разряд работы 3,5",чел.-ч,2.13,,0.1701018,,,369.87,,62.92,77,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,1.92,78,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.001452,,,,,0.61,79,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.06.03-060,"Лебедки электрические тяговым усилием до 5,79 кН (0,59 т)",маш.-ч,0.01,2.0,0.000726,6.62,1.43,9.47,,0.01,80,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.06.05-011,"Погрузчики одноковшовые универсальные фронтальные пневмоколесные, номинальная вместимость основного ковша 2,6 м3, грузоподъемность 5 т",маш.-ч,0.01,2.0,0.000726,,,1591.81,,1.16,81,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4-100-050,ОТм(Зтм) Средний разряд машинистов 5,чел.-ч,0.01,2.0,0.000726,,,450.28,,0.33,82,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,0.01,2.0,0.000726,,,611.87,,0.44,83,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.01,2.0,0.000726,,,391.8,,0.28,84,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
,91.21.01-012,"Агрегаты окрасочные высокого давления для окраски поверхностей конструкций, мощность 1 кВт",маш.-ч,0.65,2.0,0.04719,4.52,1.44,6.51,,0.31,85,Раздел 1. Адаптация  прилегающей территории,Монтажные работы,услуги,монтажные работы
