номер,обоснование,наименование,ед_изм,кол_на_ед,коэф1,всего_коэф,база_ед,индекс,тек_ед,коэф2,всего_руб,row_index,раздел,вид_работ,тип_работы,категория
238,ТЦ_20.3.04.02_71_6915012732_28.07.2025_02_37.1,"Мнемосхема тактильная стандартная, ПВХ 3 мм с защитным покрытием. Размер 470x610х3 мм (Тактильная мнемосхема с дублированием шрифтом Брайля схемы экспозиционного зала, размер 640мм*480мм, 10 шт, Тактильная мнемосхема с дублированием шрифтом Брайля поэтажное расположение выставочных залов, 640мм*480мм, 10шт)",м2,14.1312,1.0,14.1312,,,11438.09,,161633.94,1965,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,,(Материалы),,,,,,,,,,1966,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,"Объем=46*0,64*0,48",,,,,,,,,,1967,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,161633.94,1968,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
239,ТЦ_20.3.04.02_71_6915012732_28.07.2025_02_37.1,"Мнемосхема тактильная стандартная, ПВХ 3 мм с защитным покрытием. Размер 470x610х3 мм (Тактильная мнемосхема с дублированием шрифтом Брайля схемы экспозиционного зала, размер 640мм*480мм, 10 шт, Тактильная мнемосхема с дублированием шрифтом Брайля поэтажное расположение выставочных залов, 640мм*480мм, 10шт)",м2,14.1312,1.0,14.1312,,,11438.09,,161633.94,1969,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,,(Материалы),,,,,,,,,,1970,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,"Объем=46*0,64*0,48",,,,,,,,,,1971,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,161633.94,1972,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
240,ГЭСН15-06-005-02,Оклейка предварительно подготовленных поверхностей фотообоями: самоклеящимися( прим.),100 м2,0.007424,1.0,0.007424,,,,,,1973,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,,"Объем=((0,2*0,2*6)+(0,1*0,1*3,14*16)) / 100",,,,,,,,,,1974,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.2888678,,,,,113.18,1975,Раздел 9. Адаптация лифтового узла,Монтажные работы,услуги,монтажные работы
,1-100-40,"Средний разряд работы 4,0",чел.-ч,38.91,,0.2888678,,,391.8,,113.18,1976,Раздел 9. Адаптация лифтового узла,Монтажные работы,услуги,монтажные работы
Н,01.6.02.01,Обои,100 м2,1.1,,0.0081664,,,,,,1977,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,113.18,1978,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,113.18,1979,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,Пр/812-015.0-1,НР Отделочные работы,%,100.0,,100.0,,,,,113.18,1980,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,Пр/774-015,СП Отделочные работы,%,49.0,,49.0,,,,,55.46,1981,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,37960.67,,281.82,1982,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
241,ТЦ_01.7.06.14_71_6915012732_02.08.2025_02_44.1,"Тактильные номера для маркировки этажей и площадок, тактильные цифры с контрастной подложкой (желтая). 10022",шт,6.0,1.0,6.0,,,1111.8,,6670.8,1983,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,,(Материалы),,,,,,,,,,1984,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,6670.8,1985,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
242,ТЦ_01.7.06.14_71_6915012732_28.07.2025_02_42.1,Набор тактильных наклеек для маркировки кнопок лифта №1. 95 x 125мм,шт,12.0,1.0,12.0,,,244.8,,2937.6,1986,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,,(Материалы),,,,,,,,,,1987,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,2937.6,1988,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
243,ТЦ_01.7.06.14_71_6915010809_28.07.2025_02_28.1,Пиктограмма G-07 Осторожно! Препятствие. На основе полистирола 150x150х4мм,шт,16.0,1.0,16.0,,,452.88,,7246.08,1989,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,,(Материалы),,,,,,,,,,1990,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,7246.08,1991,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
244,ГЭСНм11-04-003-02,"Аппарат напольный, масса: до 0,3 т( прим.)",шт,4.0,1.0,4.0,,,,,,1992,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,62.0,,,,,22388.2,1993,Раздел 9. Адаптация лифтового узла,Монтажные работы,услуги,монтажные работы
,1-100-33,"Средний разряд работы 3,3",чел.-ч,15.5,,62.0,,,361.1,,22388.2,1994,Раздел 9. Адаптация лифтового узла,Монтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,3654.43,1995,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,3.32,,,,,1513.82,1996,Раздел 9. Адаптация лифтового узла,Монтажные работы,услуги,монтажные работы
,91.05.05-015,"Краны на автомобильном ходу, грузоподъемность 16 т",маш.-ч,0.396,,1.584,,,1626.46,,2576.31,1997,Раздел 9. Адаптация лифтового узла,Монтажные работы,услуги,монтажные работы
,4-100-060,ОТм(Зтм) Средний разряд машинистов 6,чел.-ч,0.396,,1.584,,,526.3,,833.66,1998,Раздел 9. Адаптация лифтового узла,Монтажные работы,услуги,монтажные работы
,91.06.03-060,"Лебедки электрические тяговым усилием до 5,79 кН (0,59 т)",маш.-ч,0.42,,1.68,6.62,1.43,9.47,,15.91,1999,Раздел 9. Адаптация лифтового узла,Монтажные работы,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,0.434,,1.736,,,611.87,,1062.21,2000,Раздел 9. Адаптация лифтового узла,Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.434,,1.736,,,391.8,,680.16,2001,Раздел 9. Адаптация лифтового узла,Монтажные работы,услуги,монтажные работы
,4,М,,,,,,,,,152.95,2002,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,01.7.15.03-0031,"Болты стальные оцинкованные с шестигранной головкой и оцинкованной шестигранной гайкой, диаметр резьбы болта и гайки М6, длина болта 12-60 мм",кг,0.0267,,0.1068,154.58,1.15,177.77,,18.99,2003,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,10.3.02.03-0013,"Припои оловянно-свинцовые бессурьмянистые, марка ПОС61",кг,0.01,,0.04,1562.87,1.61,2516.22,,100.65,2004,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,14.4.04.09-0016,"Эмаль ХВ-124, цветная",т,1e-05,,4e-05,146734.48,1.29,189287.48,,7.57,2005,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,20.2.10.03-0006,Наконечники кольцевые изолированные,100 шт,0.02,,0.08,233.18,1.38,321.79,,25.74,2006,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,27709.4,2007,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
244.1,421/пр_2020_п.75_пп.а,Вспомогательные ненормируемые материальные ресурсы,%,2.0,,2.0,,,,,447.76,2008,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,23902.02,2009,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,Пр/812-053.0-1,"НР Приборы, средства автоматизации и вычислительной техники",%,90.0,,90.0,,,,,21511.82,2010,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,Пр/774-053,"СП Приборы, средства автоматизации и вычислительной техники",%,46.0,,46.0,,,,,10994.93,2011,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,15165.98,,60663.91,2012,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
"245
О",ТЦ_62.0.00.00_71_9718105246_02.08.2025_02_40.1,"Интерактивный киоск МИТ Представительский (Базовая комплектация) 43"" ПРОСИГМА",шт,4.0,1.0,4.0,,,216011.4,,864045.6,2013,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,,(Оборудование),,,,,,,,,,2014,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,864045.6,2015,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
246,ГЭСН15-06-005-02,Оклейка предварительно подготовленных поверхностей фотообоями: самоклеящимися( прим.),100 м2,0.00464,1.0,0.00464,,,,,,2016,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,,"Объем=(0,05*9,28) / 100",,,,,,,,,,2017,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,0.1805424,,,,,70.74,2018,Раздел 9. Адаптация лифтового узла,Монтажные работы,услуги,монтажные работы
,1-100-40,"Средний разряд работы 4,0",чел.-ч,38.91,,0.1805424,,,391.8,,70.74,2019,Раздел 9. Адаптация лифтового узла,Монтажные работы,услуги,монтажные работы
Н,01.6.02.01,Обои,100 м2,1.1,,0.005104,,,,,,2020,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,70.74,2021,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,70.74,2022,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,Пр/812-015.0-1,НР Отделочные работы,%,100.0,,100.0,,,,,70.74,2023,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,Пр/774-015,СП Отделочные работы,%,49.0,,49.0,,,,,34.66,2024,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,37961.21,,176.14,2025,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
247,ТЦ_01.7.06.14_71_6915012732_28.07.2025_02_22.1,"Лента сигнальная для разметки пола, самоклеящаяся, черно-желтого цвета, шириной 100мм, (рулон 30 м)",м,9.28,1.0,9.28,,,26.69,,247.68,2026,Раздел 9. Адаптация лифтового узла,Монтажные работы,материалы,монтажные работы
,,(Материалы),,,,,,,,,,2027,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,247.68,2028,Раздел 9. Адаптация лифтового узла,Монтажные работы,,монтажные работы
Раздел 10. Адаптация лестницы на 5-й этаж,,,,,,,,,,,,2030,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
Демонтажные работы,,,,,,,,,,,,2031,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,,монтажные работы
248,ГЭСНр59-01-003-01,Разборка металлических лестничных решеток при весе одного метра решетки: до 60 кг(прим. Демонтаж существующих ограждений ),100 м,0.152,1.0,0.152,,,,,,2032,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,материалы,монтажные работы
,,"Объем=15,2 / 100",,,,,,,,,,2033,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,7.1896,,,,,2333.38,2034,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,услуги,монтажные работы
,1-100-22,"Средний разряд работы 2,2",чел.-ч,47.3,,7.1896,,,324.55,,2333.38,2035,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,3.82,2036,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,,монтажные работы
,91.17.04-042,Аппараты для газовой сварки и резки,маш.-ч,4.7,,0.7144,4.35,1.23,5.35,,3.82,2037,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,услуги,монтажные работы
,4,М,,,,,,,,,101.44,2038,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,,монтажные работы
,01.3.02.03-0001,Ацетилен газообразный технический,м3,0.6,,0.0912,340.41,1.56,531.04,,48.43,2039,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,материалы,монтажные работы
,01.3.02.08-0001,Кислород газообразный технический,м3,3.9,,0.5928,114.64,0.78,89.42,,53.01,2040,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,материалы,монтажные работы
Н,999-9900,Строительный мусор,т,2.5,,0.38,,,,,,2041,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,2438.64,2042,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,2333.38,2043,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,,монтажные работы
,Пр/812-093.0-1,"НР Лестницы, крыльца (ремонтно-строительные)",%,89.0,,89.0,,,,,2076.71,2044,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,,монтажные работы
,Пр/774-093,"СП Лестницы, крыльца (ремонтно-строительные)",%,45.0,,45.0,,,,,1050.02,2045,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,36614.28,,5565.37,2046,Раздел 10. Адаптация лестницы на 5-й этаж,Демонтажные работы,,монтажные работы
Монтажные работы,,,,,,,,,,,,2047,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
249,ГЭСН11-01-038-05,Устройство покрытий из плиток поливинилхлоридных: тактильных размером 500х500 мм на клее,100 шт,0.15,1.0,0.15,,,,,,2048,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
,,Объем=15 / 100,,,,,,,,,,2049,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,1.1115,,,,,406.24,2050,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,1-100-34,"Средний разряд работы 3,4",чел.-ч,7.41,,1.1115,,,365.49,,406.24,2051,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,33.47,2052,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.0585,,,,,22.59,2053,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,91.06.06-048,"Подъемники одномачтовые, грузоподъемность до 500 кг, высота подъема 45 м",маш.-ч,0.05,,0.0075,37.32,1.48,55.23,,0.41,2054,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,4-100-030,ОТм(Зтм) Средний разряд машинистов 3,чел.-ч,0.05,,0.0075,,,347.94,,2.61,2055,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,0.34,,0.051,,,611.87,,31.21,2056,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,0.34,,0.051,,,391.8,,19.98,2057,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,91.21.22-638,"Пылесосы промышленные, мощность до 2000 Вт",маш.-ч,1.25,,0.1875,,,9.84,,1.85,2058,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
Н,01.6.03.01,Плитка тактильная поливинилхлоридная,м2,25.38,,3.807,,,,,,2059,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
Н,14.1.02.04,Состав клеящий,кг,8.0,,1.2,,,,,,2060,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
Н,14.4.01.02,Грунтовки на акриловой основе,кг,2.5,,0.375,,,,,,2061,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,462.3,2062,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,428.83,2063,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,Пр/812-011.0-1,НР Полы,%,112.0,,112.0,,,,,480.29,2064,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,Пр/774-011,СП Полы,%,65.0,,65.0,,,,,278.74,2065,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,8142.2,,1221.33,2066,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
250,ФСБЦ-14.4.01.02-0012,"Грунтовка укрепляющая, глубокого проникновения, быстросохнущая, паропроницаемая",кг,0.375,1.0,0.375,68.29,1.5,102.44,,38.42,2067,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
,,(Полы),,,,,,,,,,2068,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,38.42,2069,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
251,ФСБЦ-01.6.01.11-0045,"Плитки тактильные из резинополиуретана, размеры 500х500 мм, толщина с учетом высоты тактильных элементов 5 мм",м2,3.807,1.0,3.807,1728.85,1.51,2610.56,,9938.4,2070,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
,,(Полы),,,,,,,,,,2071,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,9938.4,2072,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
252,ФСБЦ-14.2.06.09-1014,"Средство связующее полиуретановое для изготовления изделий из резиновой/каучуковой крошки и устройства высокопрочных эластичных покрытий, вязкость 4,5-6,5 Па*с при температуре +23 °C, плотность 1,06-1,12 г/см3( прим. Двухкомпонентный клей Fixvert-S для монтажа тактильной плитки из нержавеющей стали. Расход 1 кг клея/1м2)",кг,3.75,1.0,3.75,338.36,1.5,507.54,,1903.28,2073,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
,,(Полы),,,,,,,,,,2074,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,"Объем=0,48*0+0,5*0,5*15*1,0",,,,,,,,,,2075,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,1903.28,2076,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
253,ГЭСН07-05-016-04,"Устройство металлических ограждений: без поручней (прим.установка ограждений из нержавейки: 2-х уровневый поручень ОГ19, ОГ20)",100 м,0.1864,1.0,0.1864,,,,,,2077,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
,,"Объем=((8,72+0,3*2)*2) / 100",,,,,,,,,,2078,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,7.7356,,,,,2962.97,2079,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,1-100-38,"Средний разряд работы 3,8",чел.-ч,41.5,,7.7356,,,383.03,,2962.97,2080,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,2,ЭМ,,,,,,,,,298.76,2081,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,ОТм(ЗТм),чел.-ч,,,0.482776,,,,,186.05,2082,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,91.06.06-048,"Подъемники одномачтовые, грузоподъемность до 500 кг, высота подъема 45 м",маш.-ч,0.38,,0.070832,37.32,1.48,55.23,,3.91,2083,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,4-100-030,ОТм(Зтм) Средний разряд машинистов 3,чел.-ч,0.38,,0.070832,,,347.94,,24.65,2084,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,91.14.02-001,"Автомобили бортовые, грузоподъемность до 5 т",маш.-ч,2.21,,0.411944,,,611.87,,252.06,2085,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,4-100-040,ОТм(Зтм) Средний разряд машинистов 4,чел.-ч,2.21,,0.411944,,,391.8,,161.4,2086,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,91.17.04-233,"Аппараты сварочные для ручной дуговой сварки, сварочный ток до 350 А",маш.-ч,5.8,,1.08112,,,39.58,,42.79,2087,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,4,М,,,,,,,,,713.21,2088,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,01.7.03.01-0001,Вода,м3,0.1,,0.01864,35.71,0.89,31.78,,0.59,2089,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
,01.7.11.07-0054,"Электроды сварочные для сварки низколегированных и углеродистых сталей АНО-6, Э42, диаметр 6 мм",т,0.02,,0.003728,148198.02,0.94,139306.14,,519.33,2090,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
,03.2.01.01-0001,"Портландцемент бездобавочный общестроительный ЦЕМ 0 32,5Н",т,0.15,,0.02796,4800.85,1.44,6913.22,,193.29,2091,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
"П,Н",07.2.05.01,Ограждения лестничных проемов,м,0.0,,0.0,,,,,,2092,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
,,Итого прямые затраты,,,,,,,,,4160.99,2093,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,ФОТ,,,,,,,,,3149.02,2094,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,Пр/812-007.1-1,"НР Бетонные и железобетонные сборные конструкции жилых, общественных и административно-бытовых зданий промышленных предприятий",%,116.0,,116.0,,,,,3652.86,2095,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,Пр/774-007.1,"СП Бетонные и железобетонные сборные конструкции жилых, общественных и административно-бытовых зданий промышленных предприятий",%,80.0,,80.0,,,,,2519.22,2096,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,55434.92,,10333.07,2097,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
Ограждение ОГ-19,,,,,,,,,,,,2098,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
254,ТЦ_07.2.05.01_71_6915010809_24.07.2025_02_5.1,"Поручень опорный, двойной, с кронштейнами, пристенный, горизонтальный, нержавеющая сталь, D38 мм",м,9.32,1.0,9.32,,,3264.0,,30420.48,2099,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
,,(Деревянные конструкции),,,,,,,,,,2100,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,"Объем=8,72+0,3*2",,,,,,,,,,2101,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,30420.48,2102,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
Ограждение ОГ-20,,,,,,,,,,,,2103,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
255,ТЦ_07.2.05.01_71_6915010809_24.07.2025_02_5.1,"Поручень опорный, двойной, с кронштейнами, пристенный, горизонтальный, нержавеющая сталь, D38 мм",м,9.32,1.0,9.32,,,3264.0,,30420.48,2104,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
,,(Деревянные конструкции),,,,,,,,,,2105,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,"Объем=8,72+0,3*2",,,,,,,,,,2106,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,30420.48,2107,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
256,ТЦ_07.2.05.01_71_6800013433_24.07.2025_02_7.1,"КМ/01-50 крышка малая для трубы ∅50,8мм",шт,48.0,1.0,48.0,,,27.2,,1305.6,2108,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
,,(Деревянные конструкции),,,,,,,,,,2109,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,Объем=24+24,,,,,,,,,,2110,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,1305.6,2111,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
257,ТЦ_07.2.05.01_71_5036146041_24.07.2025_02_8.1,"Фланец настенный, Ø16.0 мм, AISI 304, GRIT 600",шт,48.0,1.0,48.0,,,156.4,,7507.2,2112,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
,,(Деревянные конструкции),,,,,,,,,,2113,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,Объем=24+24,,,,,,,,,,2114,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,,Всего по позиции,,,,,,,,,7507.2,2115,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
258,ГЭСН46-03-013-45,Сверление горизонтальных отверстий в бетонных конструкциях стен перфоратором глубиной 200 мм диаметром: до 20 мм,100 отверстий,1.44,1.0,1.44,,,,,,2116,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,материалы,монтажные работы
,,Объем=(24*3+24*3) / 100,,,,,,,,,,2117,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,,монтажные работы
,1,ОТ(ЗТ),чел.-ч,,,7.9776,,,,,2775.73,2118,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
,1-100-30,"Средний разряд работы 3,0",чел.-ч,5.54,,7.9776,,,347.94,,2775.73,2119,Раздел 10. Адаптация лестницы на 5-й этаж,Монтажные работы,услуги,монтажные работы
